,title,address,district,latitude,longitude,id
0,"""aba'ad pharmacy""",4049 al warad - Namar Dist.,Namar ,24.5765530340001,46.691991322,10100003060
1,abbott pharmacy,3140 asfan - Al Zahra Dist.,Al Zahra ,24.6839999929277,46.7343848156431,10100003132
2,abdul aziz pharmacy,6196 al fostat - Al Suwaidi Dist.,Al Suwaidi ,24.5831322860001,46.6599597490002,10100003018
3,abdul wahab pharmacy,2695 al madinah al munawwarah - West Suwaidi Dist.,West Suwaidi ,24.58060784,46.6118440600001,10100003057
4,abdullah clinic and pharmacy,7371 ibn taimiah rd - Badr Dist.,Badr ,24.5553564840001,46.7025993440001,10100003164
5,abha pharmacy,7683 umm al hamam - East Umm Al Hamam Dist.,East Umm Al Hamam ,24.6897255590002,46.650985006,10100003008
6,ADAM PHARMACY(Delivery),5200 southern ring branch rd - Al Duraihemiyah Dist.,Al Duraihemiyah ,24.5847956000001,46.6894986,10100003076
7,Adam Pharmacy(Delivery),7954 ash shaikh muhammad ibn abdul latif ibn abdul rahm - Shubra Dist.,Shubra ,24.5872807890001,46.683982744,10100003066
8,ADAM PHARMACY(Delivery),7655 Labeed Bin Rabeah - Al Zahrah Dist.,Al Zahrah ,24.5760544,46.6396901,10100003067
9,ADAM PHARMACY(Delivery),3675 ash shaikh ishaq ibn abdul rahman ibn hasan - Al Zahrah Dist.,Al Zahrah ,24.5739991000002,46.6467259,10100003067
10,ADAM PHARMACY(Delivery),7377 al qashashiyah - Al Nada Dist.,Al Nada ,24.8061418000001,46.6849171000001,10100003023
11,ADAM PHARMACY(Delivery),8331 ash shaikh muhammad ibn abdul latif ibn abdul rahm - Namar Dist.,Namar ,24.581839159,46.6883200010001,10100003060
12,adama pharmacy,3499 al malik abdullah ibn abdulaziz rd - Al Woroud Dist.,Al Woroud ,24.734913250331,46.6823916122238,10100003026
13,adama pharmacy,8166 King Abdulaziz - Al Rabie Dist.,Al Rabie ,24.7969218037314,46.6543192195961,10100003104
14,adama pharmacy,3767 Anas Bin Malek - Al Malqa Dist.,Al Malqa ,24.8015138935863,46.6035350704469,10100003145
15,Adama Pharmacy,4388 kharis branch rd - Al Rawdah Dist.,Al Rawdah ,24.7263437657417,46.7789457700614,10100003088
16,Adama Pharmacy(Delivery),2627 makkah al mukarramah branch rd - Al Sulaimaniyah Dist.,Al Sulaimaniyah ,24.685335303,46.7058342810001,10100003063
17,adwa as saha pharmacy,3034 makkah al mukarramah branch road - North Mathar Dist.,North Mathar ,24.6756364150001,46.6732443930001,10100003011
18,adwa as saha pharmacy,7044 at takhassusi - North Mathar Dist.,North Mathar ,24.6842366110001,46.6752496510001,10100003011
19,adwa as saha pharmacy,3131 al urubah branch rd - West Umm Al Hamam Dist.,West Umm Al Hamam ,24.6983620890002,46.6409081970002,10100003012
20,al abraj pharmacy,8748 Ayshah Bin Abi Bakr - Al Zahrah Dist.,Al Zahrah ,24.5858982090001,46.6541352210002,10100003067
21,al abraq national pharmacy,5354 asir - Al Shumaisi Dist.,Al Shumaisi ,24.6179009900001,46.7032957840001,10100003113
22,al aiwan pharmacy,7775 al zaid - Al Futah Dist.,Al Futah ,24.6386795110001,46.711211199,10100003121
23,al ajjaji pharmacy,7423 Asmaa Bint Abi Bakr - West Oraija Dist.,West Oraija ,24.5854232590001,46.586708253,10100003126
24,al ameen pharmacy,7757 umm al hamam - East Umm Al Hamam Dist.,East Umm Al Hamam ,24.6903412050002,46.6508445600001,10100003008
25,al ameen pharmacy 2,7554 umm al hamam - West Umm Al Hamam Dist.,West Umm Al Hamam ,24.6891103730001,46.6503751550001,10100003012
26,al amir pharmacy,3039 al amir sultan ibn abdul aziz - Al Olaya Dist.,Al Olaya ,24.6922707410001,46.6940440540001,10100003075
27,al amjad flower pharmacy,7093 Hamzah Bin Abdulmuttaleb - Al Zahrah Dist.,Al Zahrah ,24.5710280140001,46.6375020720002,10100003067
28,al amjad pharmacy,7094 al amir abdullah ibn abdul rahman ibn faisal - Utayqah Dist.,Utayqah ,24.5950540460001,46.7112048540001,10100003020
29,al amjad pharmacy,2229 al madhar - Al Nasiriyah Dist.,Al Nasiriyah ,24.6517803790001,46.672206519,10100003037
30,al amjad pharmacy,3004 al urayja - Al Uraija Dist.,Al Uraija ,24.6261847410001,46.6671549760002,10100003127
31,al amjad pharmacy,4590 dirab branch road - Namar Dist.,Namar ,24.5766823050002,46.697496357,10100003060
32,al arid pharmacy,7023 Al Maeer Sattam Bin Abdulaziz - Al Badeah Dist.,Al Badeah ,24.6219904220001,46.6765142130001,10100003071
33,al ashban pharmacy,6513 al amir abdullah ibn abdul rahman ibn faisal - Manfuha Al Jadidah Dist.,Manfuha Al Jadidah ,24.6093387200001,46.7107707010002,10100003005
34,al ashban pharmacy,3440 al madinah al munawarah - Dhahrat Al Badeah Dist.,hahrat Al Badeah ,24.5918362140002,46.6290097150002,10100003091
35,al ashban pharmacy 3,7317  - Manfuha Al Jadidah Dist.,Manfuha Al Jadidah ,24.6165551480001,46.7104059980001,10100003005
36,"""al bade'ah pharmacy""",3583 al madinah al munawarah - West Suwaidi Dist.,West Suwaidi ,24.5860139790001,46.620585823,10100003057
37,al badrani pharmacy,7505 al amir abdul rahman ibn abdul aziz - Al Wizarat Dist.,Al Wizarat ,24.6783087900001,46.7087714300001,10100003045
38,al barak clinic and pharmacy,6050 al jadah - Tuwaiq Dist.,Tuwaiq ,24.585915202,46.5575499610001,10100003102
39,al bustan pharmacy,2349 al madinah al munawarah - Dhahrat Al Badeah Dist.,hahrat Al Badeah ,24.5904190860002,46.627676326,10100003091
40,al farabi pharmacy,8446 umm al hamam - West Umm Al Hamam Dist.,West Umm Al Hamam ,24.6966562690001,46.6492671440002,10100003012
41,al farabi pharmacy,4224 al madinah al munawarah - Middle Oraija Dist.,Middle Oraija ,24.6048328460001,46.6501768000001,10100003128
42,al farabi pharmacy 2,7778 umm al hamam - West Umm Al Hamam Dist.,West Umm Al Hamam ,24.6906772970001,46.6503300190001,10100003012
43,al farabi pharmacy 6,6628 at takhassusi - North Mathar Dist.,North Mathar ,24.6804592350002,46.6772883670001,10100003011
44,al fares aba al khail pharmacy,6047 Hamzah Bin Abdulmuttaleb - Middle Oraija Dist.,Middle Oraija ,24.6016042890001,46.6150534510001,10100003128
45,al faris clinic and pharmacy,4337 Belal Bin Rabah - Tuwaiq Dist.,Tuwaiq ,24.5793683560001,46.552768214,10100003102
46,al faris pharmacy,6061 Hamzah Bin Abdulmuttaleb - Middle Oraija Dist.,Middle Oraija ,24.6017713900001,46.6149479880001,10100003128
47,al faris pharmacy,2298 Khadeejah Bint Khuwaylid - Tuwaiq Dist.,Tuwaiq ,24.5853466270001,46.5639005790002,10100003102
48,al faris pharmacy,3854 Belal Bin Rabah - Tuwaiq Dist.,Tuwaiq ,24.5802876490001,46.5479077050001,10100003102
49,al fath pharmacy,3277 al amir mansur ibn abdul aziz - Al Wizarat Dist.,Al Wizarat ,24.674139385,46.7121597200001,10100003045
50,al harbi pharmacy,3522 prince nawaf ibn abdulaziz - West Umm Al Hamam Dist.,West Umm Al Hamam ,24.6885513640001,46.6447576660001,10100003012
51,al hayat pharmacy,7063 Maray Al Qibtiyyah - West Oraija Dist.,West Oraija ,24.5933654250002,46.5892103100001,10100003126
52,al hazaimi pharmacy,8028 at takhassusi - North Mathar Dist.,North Mathar ,24.7069445970001,46.6635042480001,10100003011
53,al hazm pharmacy,2127 al madhar - Al Nasiriyah Dist.,Al Nasiriyah ,24.6510689540002,46.6711892020002,10100003037
54,al hedayah pharmacy,6605 al amir abdullah ibn abdul rahman ibn faisal - Al Yamamah Dist.,Al Yamamah ,24.5906530130001,46.7120489170001,10100003070
55,al hikma pharmacy,3963 al imam faisal ibn turki ibn abdullah - Umm Saleem Dist.,Umm Saleem ,24.6367382580002,46.694431712,10100003122
56,al hikma pharmacy,4107 al imam faisal ibn turki ibn abdullah - Umm Saleem Dist.,Umm Saleem ,24.636933804,46.6960470920001,10100003122
57,al hikma pharmacy,2287 dirab branch road - Al Shifa Dist.,Al Shifa ,24.576303334,46.6987285170002,10100003061
58,al huzaimi pharmacy,7407 al amir matab ibn abdul aziz - Al Rabwah Dist.,Al Rabwah ,24.685677032144,46.7667236400964,10100003047
59,al ilm pharmacy,7120 al amir abdullah ibn abdul rahman ibn faisal - Utayqah Dist.,Utayqah ,24.5952412870001,46.7113481480001,10100003020
60,al iwan pharmacy 2,6771 Ayshah Bin Abi Bakr - Middle Oraija Dist.,Middle Oraija ,24.6075564350002,46.6389675480001,10100003128
61,al jamea district pharmacy,2591 king abdullah ibn abdulaziz rd - Al Raed Dist.,Al Raed ,24.709407594,46.6290025660002,10100003125
62,al jamila pharmacy,6608 dirab rd - Dirab Dist.,ab ,24.4964517075131,46.6284107906682,10100003058
